,Ester_24h_CNT_F_T_S29_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_T_S30_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S41_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S42_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_T_S31_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S43_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S44_R1_001.flexbar_q.fastq,Ester_24h_PS_F_T_S32_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S25_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S26_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S37_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S38_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S27_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S28_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S39_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S40_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S33_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S34_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S45_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S46_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S35_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S36_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S47_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S48_R1_001.flexbar_q.fastq
tRF-16-8S68L5D,9.32,34.95,12.23,54.42,15.19,42.11,16.1,33.41,130.68,5.05,47.1,32.46,13.43,4.49,57.54,27.74,38.61,39.4,83.0,6.84,16.54,34.16,0.0,6.74
tRF-16-8SPOL5D,18.63,17.48,28.55,21.77,2.53,14.04,4.03,9.55,0.0,0.0,28.26,18.55,0.0,4.49,24.66,27.74,0.0,22.51,7.55,34.21,0.0,0.0,32.27,26.96
tRF-16-8SQ2SVD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tRF-16-8W6ZFY0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tRF-16-8WI26W0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tRF-16-8Y3DUVD,23.29,69.9,44.86,54.42,25.32,63.16,24.16,23.87,16.34,75.78,56.52,32.46,0.0,0.0,115.07,94.32,64.35,50.66,60.36,95.79,22.05,38.43,118.33,47.19
tRF-16-8Z1MQ8E,0.0,0.0,4.08,0.0,0.0,7.02,4.03,0.0,32.67,5.05,0.0,0.0,0.0,4.49,0.0,0.0,0.0,5.63,7.55,6.84,1.84,0.0,21.51,6.74
tRF-16-93F91S0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tRF-16-93Q01MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tRF-16-94V4SMB,0.0,17.48,0.0,0.0,0.0,0.0,0.0,14.32,0.0,15.16,0.0,4.64,0.0,4.49,0.0,27.74,0.0,5.63,0.0,0.0,0.0,0.0,0.0,0.0
