,Ester_24h_CNT_F_T_S29_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_T_S30_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S41_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S42_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_T_S31_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S43_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S44_R1_001.flexbar_q.fastq,Ester_24h_PS_F_T_S32_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S25_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S26_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S37_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S38_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S27_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S28_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S39_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S40_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S33_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S34_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S45_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S46_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S35_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S36_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S47_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S48_R1_001.flexbar_q.fastq
tRF-21-S998LOW3E,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
tRF-21-SBKKRSL3E,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
tRF-21-SXQ3V2Y70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-21-U1O0789ND,3,3,4,1,1,4,3,0,1,3,2,4,0,2,12,8,3,3,7,1,1,5,3,8
tRF-21-U4307W5ND,1,2,0,0,0,2,3,5,1,0,1,0,1,2,2,4,2,5,6,0,7,2,1,1
tRF-21-U45O6QJ1E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-21-UDJKSV5ND,3,1,4,2,1,3,0,0,1,2,1,1,3,1,4,1,1,4,1,3,0,2,0,1
tRF-21-UJJKIWRND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-21-UMJYX9X50,3,1,0,3,1,3,1,1,0,3,1,2,0,0,2,2,2,0,0,1,5,1,5,1
tRF-21-UMJYX9X5B,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0
tRF-21-UMJYXZX50,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tRF-21-UMX0S75ND,23,40,27,20,28,24,21,10,23,29,23,15,15,21,33,16,27,42,18,19,29,23,18,19
tRF-21-UMX0SW5ND,2,1,0,0,1,0,2,1,0,0,0,0,1,0,1,2,0,0,0,0,0,1,1,0
tRF-21-UMXKS6RND,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,4,0,0,0,0
tRF-21-V2Y7RZ81D,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-21-V2Y8L9810,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,2,0,1,0,1,0,2,0,0
tRF-21-V3R918VBE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tRF-21-V3WD8YQ8D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-21-V47P596VE,74,24,27,19,42,13,24,48,31,19,24,100,16,30,27,130,46,44,31,8,55,38,22,55
tRF-21-V47PU9XWE,1,4,3,2,0,2,0,1,2,2,4,1,0,0,1,5,1,2,1,0,3,2,2,3
tRF-21-V4QP596VE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tRF-21-V81H93WBE,11,2,5,2,6,9,8,9,0,8,6,10,1,1,6,2,15,12,15,2,11,5,3,9
tRF-21-V8WPMN1EE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
