Sample_ID,Ester_24h_CNT_F_S_S6_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_S_S17_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_S_S18_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_S_S7_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_S_S19_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_S_S20_R1_001.flexbar_q.fastq,Ester_24h_PS_F_S_S8_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_S_S1_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_S_S2_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_S_S13_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_S_S14_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_S_S3_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_S_S4_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_S_S15_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_S_S16_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_S_S10_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_S_S9_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_S_S21_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_S_S22_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_S_S11_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_S_S12_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_S_S23_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_S_S24_R1_001.flexbar_q.fastq
tRF-22-LB8O9KZRJ,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
tRF-22-LK91547O4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,1
tRF-22-LPMBQ4NKJ,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0
tRF-22-M3WD8S744,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-22-M3WD8SS44,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
tRF-22-MBQ4NKKQF,4,0,1,3,0,0,0,0,3,0,0,2,0,4,0,0,2,0,0,1,1,0,0
tRF-22-MEF91SS2M,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,1,0,1,2,0
tRF-22-MI7O3B1N4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0
tRF-22-MIF91SS2M,0,0,0,2,3,1,0,1,0,3,0,1,0,0,0,2,0,0,0,4,3,0,0
tRF-22-MMUKLY5ZH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
tRF-22-MN1E8Y7Z2,2,0,0,0,0,4,3,0,0,3,3,3,0,3,3,0,1,3,0,3,4,0,1
tRF-22-MNH5SYNX2,0,2,6,1,6,11,3,1,7,2,0,2,0,4,5,3,2,0,4,2,4,6,1
tRF-22-MPW4PU73O,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,1,0,0
tRF-22-N1EH6KK8N,4,5,0,2,3,1,3,1,2,0,2,4,9,4,5,2,2,3,4,2,15,3,0
tRF-22-N3R918VBQ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-22-N90VL8K8N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-22-NB8PLML35,4,2,2,1,2,1,2,2,4,2,1,2,1,1,0,0,0,4,1,1,2,4,4
tRF-22-NF56FK8R4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tRF-22-NIDRIWQ7M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
tRF-22-NL5RYKWI4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
tRF-22-NMEH623KN,4,3,2,5,9,7,6,4,9,6,4,12,5,4,6,1,1,1,5,1,15,3,2
tRF-22-NQDVLKZ4H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1
tRF-22-NRDF7UK8M,0,0,0,1,0,2,1,1,0,3,0,2,6,1,0,0,0,1,0,2,1,0,1
tRF-22-NRDF7UK8N,10,11,7,6,9,10,8,5,13,10,9,23,19,12,18,2,6,5,6,16,13,8,12
tRF-22-NS56O2Z04,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,1,0,0,2,3,0,0
tRF-22-NS56O2ZF4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-22-NYDRFU8UN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
tRF-22-NZD75K8P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tRF-22-O7M8LO9LM,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
tRF-22-O9XEKJ5RL,0,3,0,1,5,2,0,6,21,0,0,2,1,4,2,0,0,0,1,0,2,3,0
tRF-22-OJ7IR1JOJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-22-OZXEKJ5RL,0,0,0,0,1,0,0,2,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0
tRF-22-PP6N7KYUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-22-PS5P4PW3H,6,17,1,2,17,10,13,17,32,6,4,33,7,7,45,18,7,3,6,55,24,8,4
tRF-22-PSQP4PW3H,0,0,0,0,2,0,0,0,0,1,0,7,2,0,8,2,0,2,0,0,1,0,0
tRF-22-PY5P4PZ3H,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-22-PY8HM2OS4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
tRF-22-Q1Q89P9L5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tRF-22-Q2FWQ8P6O,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
