Trfs,Ester_24h_CNT_F_T_S29_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_T_S30_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S41_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S42_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_T_S31_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S43_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S44_R1_001.flexbar_q.fastq,Ester_24h_PS_F_T_S32_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S25_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S26_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S37_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S38_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S27_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S28_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S39_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S40_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S33_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S34_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S45_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S46_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S35_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S36_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S47_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S48_R1_001.flexbar_q.fastq,Pearson_correlation,p_values
tRF-22-S3M8309NF,37.26,69.9,28.55,119.73,45.58,63.16,36.23,62.05,98.01,75.78,47.1,97.37,161.14,26.92,90.42,61.03,160.87,106.95,22.64,102.64,36.75,72.58,107.57,20.22,-0.18981349623452565,0.37434358266952417
tRF-22-U1O0789NK,72.2,148.54,73.41,250.35,37.98,175.44,116.76,124.11,294.03,75.78,254.32,143.74,161.14,67.3,205.49,94.32,160.87,185.75,150.9,130.01,42.26,102.47,236.65,101.11,-0.17175335337195238,0.4222706752391482
tRF-22-U4307W5NK,2.33,8.74,0.0,21.77,15.19,14.04,12.08,19.09,16.34,5.05,18.84,4.64,26.86,8.97,41.1,5.55,32.17,22.51,30.18,6.84,7.35,4.27,10.76,6.74,-0.29573564101549465,0.16059419273813508
tRF-22-UMJYX9X5M,20.96,113.59,73.41,108.85,37.98,105.27,92.6,76.37,245.03,111.14,131.87,46.37,94.0,62.81,164.39,110.96,154.44,174.49,165.99,75.27,25.72,76.85,204.38,148.3,0.0010282725595536085,0.9961952629431301
tRF-22-V47P596V5,6.99,17.48,0.0,10.88,12.66,14.04,8.05,9.55,32.67,0.0,47.1,18.55,13.43,4.49,8.22,16.64,6.43,5.63,22.64,6.84,0.0,12.81,0.0,13.48,-0.24408488354882268,0.2503818348709955
tRF-22-VBY9PYKHK,27.95,17.48,32.63,21.77,2.53,0.0,16.1,38.19,16.34,40.41,28.26,9.27,40.28,35.89,49.32,49.93,51.48,16.89,30.18,13.68,1.84,29.89,21.51,33.7,-0.1743267903457014,0.4152447502646489
tRF-22-VF4YO9XEJ,23.29,87.38,20.39,21.77,10.13,56.14,40.26,38.19,130.68,45.47,47.1,46.37,94.0,0.0,32.88,44.38,57.91,56.29,52.82,41.05,9.19,34.16,129.08,20.22,-0.014250967603590153,0.9473051291919758
tRF-22-W0K672052,90.83,515.51,159.05,380.97,91.16,203.51,161.04,133.65,245.03,65.67,339.09,153.01,107.42,130.11,246.59,183.09,148.0,163.23,286.71,157.37,99.22,102.47,376.49,148.3,-0.08883346059939608,0.6797686681374377
tRF-22-WB08Q2B52,16.3,157.28,48.94,87.08,25.32,63.16,48.31,71.6,49.01,40.41,113.03,18.55,26.86,13.46,82.2,27.74,51.48,73.17,90.54,20.53,11.02,25.62,96.81,20.22,-0.19409732126402482,0.3634542598658367
tRF-22-WB0Q37Q52,62.88,279.6,85.64,239.47,63.3,182.46,161.04,114.56,294.03,171.76,376.77,125.19,147.71,125.63,189.05,183.09,218.79,275.81,203.72,157.37,60.64,145.16,301.2,161.78,-0.11763202689985791,0.5840904369469002
tRF-22-WB863IP52,25.62,183.49,36.7,76.19,20.26,77.19,76.49,33.41,212.36,50.52,56.52,37.09,107.42,26.92,82.2,49.93,83.65,73.17,67.91,34.21,18.37,72.58,96.81,53.93,-0.10899206169618289,0.6121826616443913
tRF-22-WB8647O52,90.83,270.86,89.72,185.04,27.85,168.42,132.86,85.92,130.68,85.88,301.42,115.92,94.0,71.79,131.51,110.96,167.31,129.46,218.81,75.27,47.77,76.85,150.6,134.82,-0.21901537483703798,0.3038437856541887
tRF-22-WB8689SV2,13.97,52.43,36.7,43.54,5.06,56.14,24.16,14.32,114.35,20.21,18.84,23.18,40.28,13.46,24.66,27.74,57.91,56.29,67.91,54.74,11.02,46.96,0.0,6.74,-0.3610163510091915,0.08306010047654229
tRF-22-WB86N7O52,349.34,1057.24,428.21,990.53,308.92,729.84,414.68,501.2,1339.48,338.47,1120.9,417.3,577.41,376.88,780.86,626.93,772.19,866.82,799.78,444.75,231.52,439.75,796.02,431.42,-0.2834824854252681,0.1794766794644752
tRF-22-WB86Q3P92,48.91,314.55,118.27,185.04,68.37,147.37,157.02,143.2,375.71,146.5,442.71,166.92,214.85,170.49,156.17,138.7,276.7,287.06,331.99,253.17,97.39,170.78,225.9,74.15,-0.30206409293498804,0.15140907293133682
